Problem,Link,Platform,Difficulty,Priority
Display Array Elements,https://www.geeksforgeeks.org/problems/print-array-elements/1,GFG,Easy,Class
Sum of Array Elements,https://www.geeksforgeeks.org/problems/sum-of-array-elements/1,GFG,Easy,Class
Average of Array,https://www.geeksforgeeks.org/problems/average-in-a-stream/1,GFG,Easy,Class
Count Even and Odd,https://www.geeksforgeeks.org/problems/count-even-odd/1,GFG,Easy,Class
Find Maximum Element,https://www.geeksforgeeks.org/problems/largest-element-in-array/1,GFG,Easy,Class
Find Minimum Element,https://www.geeksforgeeks.org/problems/minimum-element-in-array/1,GFG,Easy,HW
Count Positive Numbers,https://www.geeksforgeeks.org/problems/count-positive-negative/1,GFG,Easy,HW
Linear Search,https://www.geeksforgeeks.org/problems/linear-search/1,GFG,Easy,Class
Count Occurrences,https://www.geeksforgeeks.org/problems/count-occurrence-of-element/1,GFG,Easy,Class
First Occurrence,https://www.geeksforgeeks.org/problems/first-occurrence/1,GFG,Easy,Class
Last Occurrence,https://www.geeksforgeeks.org/problems/last-occurrence/1,GFG,Easy,HW
Check Element Exists,https://www.geeksforgeeks.org/problems/search-an-element-in-an-array/1,GFG,Easy,HW
Reverse Array,https://www.geeksforgeeks.org/problems/reverse-an-array/1,GFG,Easy,Class
Swap Alternate Elements,https://www.geeksforgeeks.org/problems/swap-and-maximize/1,GFG,Easy,Class
Move Zeroes to End,https://www.geeksforgeeks.org/problems/move-all-zeroes-to-end-of-array0751/1,GFG,Easy,Class
Replace Elements with Zero,https://www.geeksforgeeks.org/problems/replace-all-0-with-5/1,GFG,Easy,HW
Reverse Subarray,https://www.geeksforgeeks.org/problems/reverse-sub-array/1,GFG,Easy,HW
Count Frequency of Element,https://www.geeksforgeeks.org/problems/count-frequency/1,GFG,Easy,Class
Find Missing Number,https://www.geeksforgeeks.org/problems/missing-number-in-array/1,GFG,Easy,Class
Find Duplicate Element,https://www.geeksforgeeks.org/problems/find-duplicate-element/1,GFG,Easy,Class
Count Elements Greater than X,https://www.geeksforgeeks.org/problems/count-elements-greater-than-x/1,GFG,Easy,HW
Count Elements Smaller than X,https://www.geeksforgeeks.org/problems/count-smaller-elements/1,GFG,Easy,HW
