Problem,Link,Platform,Difficulty,Priority
Print N to 1 Without Loop,https://www.geeksforgeeks.org/problems/print-n-to-1-without-loop/1,GFG,Easy,Class
Print 1 to N Without Loop,https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops3621/1,GFG,Easy,Class
Factorial,https://www.geeksforgeeks.org/problems/factorial5739/1,GFG,Easy,Class
GCD of Two Numbers,https://www.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,GFG,Easy,Class
Reverse a Number,https://www.geeksforgeeks.org/problems/reverse-coding2452/1,GFG,Easy,Class
Reverse an Array,https://www.geeksforgeeks.org/problems/reverse-an-array/1,GFG,Easy,Class
Palindrome String,https://www.geeksforgeeks.org/problems/palindrome-string0817/1,GFG,Easy,Class
Pow(x n),https://leetcode.com/problems/powx-n/description/,LeetCode,Medium,Class
Tower of Hanoi,https://www.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,GFG,Medium,Class
Fibonacci Number,https://leetcode.com/problems/fibonacci-number/description/,LeetCode,Easy,Class
Subset Sum Problem,https://www.geeksforgeeks.org/problems/subset-sum-problem2014/1,GFG,Medium,Class
Subset Sums,https://www.geeksforgeeks.org/problems/subset-sums2234/1,GFG,Medium,Class
Subsets II,https://leetcode.com/problems/subsets-ii/description/,LeetCode,Medium,Class
K-th Symbol in Grammar,https://leetcode.com/problems/k-th-symbol-in-grammar/description/,LeetCode,Medium,Class
Count Good Numbers,https://leetcode.com/problems/count-good-numbers/description/,LeetCode,Medium,HW
Subsets,https://leetcode.com/problems/subsets/description/,LeetCode,Medium,Class
Permutations,https://leetcode.com/problems/permutations/description/,LeetCode,Medium,Class
Permutations II,https://leetcode.com/problems/permutations-ii/description/,LeetCode,Medium,Class
Combination Sum,https://leetcode.com/problems/combination-sum/description/,LeetCode,Medium,Class
Combination Sum II,https://leetcode.com/problems/combination-sum-ii/description/,LeetCode,Medium,Class
Letter Combinations of Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,LeetCode,Medium,Class
Word Search,https://leetcode.com/problems/word-search/description/,LeetCode,Medium,Class
Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/description/,LeetCode,Medium,Class
N-Queens,https://leetcode.com/problems/n-queens/description/,LeetCode,Hard,Class
N-Queens II,https://leetcode.com/problems/n-queens-ii/description/,LeetCode,Hard,HW
Sudoku Solver,https://leetcode.com/problems/sudoku-solver/description/,LeetCode,Hard,Class
Rat in a Maze,https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,GFG,Hard,Class
M-Coloring Problem,https://www.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1,GFG,Hard,HW
