Problem,Link,Platform,Difficulty,Priority
Find Index of First Occurrence,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,LeetCode,Easy,Class
Implement strStr(),https://leetcode.com/problems/implement-strstr/,LeetCode,Easy,Class
Count Occurrences of Pattern,https://www.geeksforgeeks.org/problems/count-occurrences-of-a-pattern/1,GFG,Easy,Class
Check Substring,https://www.geeksforgeeks.org/problems/check-if-a-string-is-substring-of-other/1,GFG,Easy,HW
Implement KMP Algorithm,https://www.geeksforgeeks.org/problems/kmp-algorithm/1,GFG,Medium,Class
Repeated Substring Pattern,https://leetcode.com/problems/repeated-substring-pattern/,LeetCode,Easy,Class
Longest Prefix Suffix,https://www.geeksforgeeks.org/problems/longest-prefix-suffix/1,GFG,Medium,Class
Z Algorithm Implementation,https://www.geeksforgeeks.org/problems/z-algorithm/1,GFG,Medium,Class
Pattern Searching Using Z,https://www.geeksforgeeks.org/problems/pattern-searching/1,GFG,Medium,Class
Rabin-Karp Implementation,https://www.geeksforgeeks.org/problems/rabin-karp-algorithm/1,GFG,Medium,Class
Pattern Matching Using Hashing,https://www.geeksforgeeks.org/problems/pattern-matching/1,GFG,Medium,HW
