Problem,Link,Platform,Difficulty,Priority
Implement Trie Prefix Tree,https://leetcode.com/problems/implement-trie-prefix-tree/,LeetCode,Medium,Class
Trie Insert and Search,https://www.geeksforgeeks.org/problems/trie-insert-and-search0651/1,GFG,Medium,Class
Count Words With Prefix,https://www.geeksforgeeks.org/problems/prefix-trie/1,GFG,Medium,Class
Implement Trie II,https://leetcode.com/problems/implement-trie-ii-prefix-tree/,LeetCode,Hard,Class
Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,LeetCode,Easy,Class
Replace Words,https://leetcode.com/problems/replace-words/,LeetCode,Medium,Class
Word Dictionary Add and Search,https://leetcode.com/problems/design-add-and-search-words-data-structure/,LeetCode,Medium,Class
Short Encoding of Words,https://leetcode.com/problems/short-encoding-of-words/,LeetCode,Medium,HW
Word Search,https://leetcode.com/problems/word-search/,LeetCode,Medium,Class
Word Search II,https://leetcode.com/problems/word-search-ii/,LeetCode,Hard,Class
Maximum XOR of Two Numbers,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,LeetCode,Medium,Class
Maximum XOR With Queries,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/,LeetCode,Hard,Class
Count Pairs With XOR,https://www.geeksforgeeks.org/problems/count-pairs-with-given-xor/1,GFG,Medium,HW
