title,link,platform,resource_type,pattern,subpattern,difficulty,priority,topic
Introduction to Linked List,https://www.geeksforgeeks.org/data-structures/linked-list/,,,,,,,LINKED_LIST
Singly Linked List â Complete Guide,https://www.geeksforgeeks.org/singly-linked-list/,,,,,,,LINKED_LIST
Doubly Linked List,https://www.geeksforgeeks.org/doubly-linked-list/,,,,,,,LINKED_LIST
Floydâs Cycle Detection Algorithm,https://www.geeksforgeeks.org/floyds-cycle-finding-algorithm/,,,,,,,LINKED_LIST
Reverse Linked List Explained,https://www.geeksforgeeks.org/reverse-a-linked-list/,,,,,,,LINKED_LIST
Merge Two Sorted Linked Lists,https://www.geeksforgeeks.org/merge-two-sorted-linked-lists/,,,,,,,LINKED_LIST
Problem,Link,,,,,,,LINKED_LIST
Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,,,,,,,LINKED_LIST
Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,,,,,,,LINKED_LIST
Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,,,,,,,LINKED_LIST
Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,,,,,,,LINKED_LIST
Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,,,,,,,LINKED_LIST
Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,,,,,,,LINKED_LIST
Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/,,,,,,,LINKED_LIST
Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,,,,,,,LINKED_LIST
Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,,,,,,,LINKED_LIST
Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,,,,,,,LINKED_LIST
Remove Nth Node From End,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,,,,,,,LINKED_LIST
Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,,,,,,,LINKED_LIST
Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,,,,,,,LINKED_LIST
Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list/,,,,,,,LINKED_LIST
Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,,,,,,,LINKED_LIST
Add Two Numbers II,https://leetcode.com/problems/add-two-numbers-ii/,,,,,,,LINKED_LIST
Rotate List,https://leetcode.com/problems/rotate-list/,,,,,,,LINKED_LIST
Sort List,https://leetcode.com/problems/sort-list/,,,,,,,LINKED_LIST
Partition List,https://leetcode.com/problems/partition-list/,,,,,,,LINKED_LIST
Reorder List,https://leetcode.com/problems/reorder-list/,,,,,,,LINKED_LIST
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,,,,,,,LINKED_LIST
Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,,,,,,,LINKED_LIST
Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,,,,,,,LINKED_LIST
Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,,,,,,,LINKED_LIST
Detect Loop in Linked List,https://www.geeksforgeeks.org/problems/detect-loop-in-linked-list/1,,,,,,,LINKED_LIST
Remove Loop in Linked List,https://www.geeksforgeeks.org/problems/remove-loop-in-linked-list/1,,,,,,,LINKED_LIST
Find Length of Loop,https://www.geeksforgeeks.org/problems/find-length-of-loop/1,,,,,,,LINKED_LIST
Segregate Even and Odd Nodes,https://www.geeksforgeeks.org/problems/segregate-even-and-odd-nodes-in-a-linked-list/1,,,,,,,LINKED_LIST
